# Reading C:/questasim64_10.4c/tcl/vsim/pref.tcl
# //  Questa Sim-64
# //  Version 10.4c win64 Jul 20 2015
# //
# //  Copyright 1991-2015 Mentor Graphics Corporation
# //  All Rights Reserved.
# //
# //  THIS WORK CONTAINS TRADE SECRET AND PROPRIETARY INFORMATION
# //  WHICH IS THE PROPERTY OF MENTOR GRAPHICS CORPORATION OR ITS
# //  LICENSORS AND IS SUBJECT TO LICENSE TERMS.
# //  THIS DOCUMENT CONTAINS TRADE SECRETS AND COMMERCIAL OR FINANCIAL
# //  INFORMATION THAT ARE PRIVILEGED, CONFIDENTIAL, AND EXEMPT FROM
# //  DISCLOSURE UNDER THE FREEDOM OF INFORMATION ACT, 5 U.S.C. SECTION 552.
# //  FURTHERMORE, THIS INFORMATION IS PROHIBITED FROM DISCLOSURE UNDER
# //  THE TRADE SECRETS ACT, 18 U.S.C. SECTION 1905.
# //
project open C:/Users/dpl19/OneDrive/Desktop/EE552/NOC/NOC
# Refreshing C:/Users/dpl19/OneDrive/Desktop/EE552/NOC/work.filter_mem
# Loading work.filter_mem
# Refreshing C:/Users/dpl19/OneDrive/Desktop/EE552/NOC/work.multiplier
# Loading work.multiplier
# Refreshing C:/Users/dpl19/OneDrive/Desktop/EE552/NOC/work.adder
# Loading work.adder
# Refreshing C:/Users/dpl19/OneDrive/Desktop/EE552/NOC/work.split
# Loading work.split
# Refreshing C:/Users/dpl19/OneDrive/Desktop/EE552/NOC/work.accumulator
# Loading work.accumulator
# Refreshing C:/Users/dpl19/OneDrive/Desktop/EE552/NOC/work.data_bucket
# Refreshing C:/Users/dpl19/OneDrive/Desktop/EE552/NOC/work.dg_db_sv_unit
# Loading work.dg_db_sv_unit
# Loading work.data_bucket
# data_bucket starts complete_pe_tb.db                    0
# Start recieving in module complete_pe_tb.db. Simulation time =                   0
# ifmap_data =                  1
# ifmap_addr =  0
# 
### complete_pe_tb.pe_i.ifmap_addr.Receive Stalled(                   1) @              1000000
### complete_pe_tb.pe_i.ifmap_in.Receive Stalled(                   1) @              1000000
### complete_pe_tb.pe_i.ifmap_in.Send Stalled(                   5) @              7000000
# ifmap_data =                  1
# ifmap_addr =  1
# 
### complete_pe_tb.pe_i.ifmap_in.Send Stalled(                   5) @             13000000
# ifmap_data =                  1
# ifmap_addr =  2
# 
### complete_pe_tb.pe_i.ifmap_in.Send Stalled(                   5) @             19000000
# ifmap_data =                  1
# ifmap_addr =  3
# 
### complete_pe_tb.pe_i.ifmap_in.Send Stalled(                   5) @             25000000
# ifmap_data =                  1
# ifmap_addr =  4
# 
### complete_pe_tb.pe_i.ifmap_in.Send Stalled(                   5) @             31000000
# ifmap_data =                  0
# ifmap_addr =  5
# 
### complete_pe_tb.pe_i.ifmap_in.Send Stalled(                   5) @             37000000
# ifmap_data =                  0
# ifmap_addr =  6
# 
### complete_pe_tb.pe_i.ifmap_in.Send Stalled(                   5) @             43000000
# ifmap_data =                  0
# ifmap_addr =  7
# 
### complete_pe_tb.pe_i.ifmap_in.Send Stalled(                   5) @             49000000
# ifmap_data =                  0
# ifmap_addr =  8
# 
### complete_pe_tb.pe_i.ifmap_in.Send Stalled(                   5) @             55000000
# ifmap_data =                  0
# ifmap_addr =  9
# 
### complete_pe_tb.pe_i.ifmap_in.Send Stalled(                   5) @             61000000
# ifmap_data =                  0
# ifmap_addr = 10
# 
### complete_pe_tb.pe_i.ifmap_in.Send Stalled(                   5) @             67000000
# ifmap_data =                  0
# ifmap_addr = 11
# 
### complete_pe_tb.pe_i.ifmap_in.Send Stalled(                   5) @             73000000
# ifmap_data =                  0
# ifmap_addr = 12
# 
### complete_pe_tb.pe_i.ifmap_in.Send Stalled(                   5) @             79000000
# ifmap_data =                  0
# ifmap_addr = 13
# 
### complete_pe_tb.pe_i.ifmap_in.Send Stalled(                   5) @             85000000
# ifmap_data =                  0
# ifmap_addr = 14
# 
### complete_pe_tb.pe_i.ifmap_in.Send Stalled(                   5) @             91000000
# ifmap_data =                  0
# ifmap_addr = 15
# 
### complete_pe_tb.pe_i.ifmap_in.Send Stalled(                   5) @             97000000
# ifmap_data =                  0
# ifmap_addr = 16
# 
### complete_pe_tb.pe_i.ifmap_in.Send Stalled(                   5) @            103000000
# ifmap_data =                  0
# ifmap_addr = 17
# 
### complete_pe_tb.pe_i.ifmap_in.Send Stalled(                   5) @            109000000
# ifmap_data =                  0
# ifmap_addr = 18
# 
### complete_pe_tb.pe_i.ifmap_in.Send Stalled(                   5) @            115000000
# ifmap_data =                  0
# ifmap_addr = 19
# 
### complete_pe_tb.pe_i.ifmap_in.Send Stalled(                   5) @            121000000
# ifmap_data =                  0
# ifmap_addr = 20
# 
### complete_pe_tb.pe_i.ifmap_in.Send Stalled(                   5) @            127000000
# ifmap_data =                  0
# ifmap_addr = 21
# 
### complete_pe_tb.pe_i.ifmap_in.Send Stalled(                   5) @            133000000
# ifmap_data =                  0
# ifmap_addr = 22
# 
### complete_pe_tb.pe_i.ifmap_in.Send Stalled(                   5) @            139000000
# ifmap_data =                  0
# ifmap_addr = 23
# 
### complete_pe_tb.pe_i.ifmap_in.Send Stalled(                   5) @            145000000
# ifmap_data =                  0
# ifmap_addr = 24
# 
# ifmap ready= 1, filter ready= 0
### complete_pe_tb.intf[0].Send Stalled(                 136) @            146000000
### complete_pe_tb.pe_i.f_forwardIntf.Receive Stalled(                 147) @            147000000
# Sending forwarding data
# iff type = 0
# data = 0000010100000100000000110000001000000001
# source =  2
# dest =  7
# x_dir = 0
# y_dir = 0
# x_hop = 0
# y_hop = 1
# 
# packet = 000010011100000010000010100000100000000110000001000000001
# 
# filter_data =                  1
# filter_addr = 0
# 
### complete_pe_tb.pe_i.filter_addr.Receive Stalled(                 148) @            148000000
### complete_pe_tb.pe_i.filter_in.Receive Stalled(                 148) @            148000000
### complete_pe_tb.intf[1].Receive Stalled(                 148) @            148000000
# --------Finished recieving in module complete_pe_tb.db. Simulation time =           148000000. Final result =  5489883099628033.
# Execution cycle=          1, Cycle Time=        148, 
# 
#     Average CycleTime=148.000000, Average Throughput=0.006757
# data_bucket starts complete_pe_tb.db                  148
# Start recieving in module complete_pe_tb.db. Simulation time =           148000000
### complete_pe_tb.pe_i.filter_in.Send Stalled(                   5) @            154000000
# filter_data =                  2
# filter_addr = 1
# 
### complete_pe_tb.pe_i.filter_in.Send Stalled(                   5) @            160000000
# filter_data =                  3
# filter_addr = 2
# 
### complete_pe_tb.pe_i.filter_in.Send Stalled(                   5) @            166000000
# filter_data =                  4
# filter_addr = 3
# 
### complete_pe_tb.pe_i.filter_in.Send Stalled(                   5) @            172000000
# filter_data =                  5
# filter_addr = 4
# 
# ifmap ready= 1, filter ready= 1
### complete_pe_tb.pe_i.f_forwardIntf.Receive Stalled(                  24) @            173000000
### complete_pe_tb.pe_i.start.Receive Stalled(                 174) @            174000000
### complete_pe_tb.pe_i.sourceIntf.Receive Stalled(                   1) @            174000000
### complete_pe_tb.pe_i.destIntf.Receive Stalled(                   1) @            174000000
### complete_pe_tb.pe_i.x_dirIntf.Receive Stalled(                   1) @            174000000
### complete_pe_tb.pe_i.y_dirIntf.Receive Stalled(                   1) @            174000000
### complete_pe_tb.pe_i.x_hopIntf.Receive Stalled(                   1) @            174000000
### complete_pe_tb.pe_i.y_hopIntf.Receive Stalled(                   1) @            174000000
### complete_pe_tb.pe_i.acc_clear.Receive Stalled(                 178) @            178000000
### complete_pe_tb.pe_i.split_sel.Receive Stalled(                 184) @            184000000
### complete_pe_tb.pe_i.add_sel.Receive Stalled(                 184) @            184000000
### complete_pe_tb.pe_i.filter_out_addr.Receive Stalled(                 184) @            184000000
### complete_pe_tb.pe_i.ifmap_out_addr.Receive Stalled(                 184) @            184000000
### complete_pe_tb.pe_i.intf[3].Send Stalled(                   2) @            184000000
### complete_pe_tb.pe_i.acc_clear.Send Stalled(                   2) @            186000000
### complete_pe_tb.pe_i.filter_out.Receive Stalled(                 188) @            188000000
### complete_pe_tb.pe_i.ifmap_out.Receive Stalled(                 188) @            188000000
### complete_pe_tb.pe_i.filter_out_addr.Receive Stalled(                   2) @            192000000
### complete_pe_tb.pe_i.ifmap_out_addr.Receive Stalled(                   2) @            192000000
### complete_pe_tb.pe_i.intf[0].Receive Stalled(                   8) @            192000000
### complete_pe_tb.pe_i.filter_out.Receive Stalled(                   2) @            196000000
### complete_pe_tb.pe_i.ifmap_out.Receive Stalled(                   2) @            196000000
### complete_pe_tb.pe_i.intf[1].Receive Stalled(                 196) @            196000000
### complete_pe_tb.pe_i.add_sel.Send Stalled(                   6) @            198000000
###Deadlock Detected on complete_pe_tb.pe_i.psum_in @                    0
### complete_pe_tb.pe_i.intf[0].Receive Stalled(                   2) @            200000000
### complete_pe_tb.pe_i.intf[2].Receive Stalled(                  14) @            200000000
### complete_pe_tb.pe_i.split_sel.Send Stalled(                  10) @            202000000
### complete_pe_tb.pe_i.intf[3].Receive Stalled(                   6) @            204000000
### complete_pe_tb.pe_i.acc_clear.Send Stalled(                  14) @            206000000
### complete_pe_tb.pe_i.intf[1].Receive Stalled(                   6) @            208000000
### complete_pe_tb.pe_i.add_sel.Receive Stalled(                   2) @            212000000
### complete_pe_tb.pe_i.filter_out_addr.Receive Stalled(                  14) @            212000000
### complete_pe_tb.pe_i.ifmap_out_addr.Receive Stalled(                  14) @            212000000
### complete_pe_tb.pe_i.intf[2].Receive Stalled(                   6) @            212000000
### complete_pe_tb.pe_i.split_sel.Send Stalled(                   2) @            214000000
### complete_pe_tb.pe_i.filter_out.Receive Stalled(                  14) @            216000000
### complete_pe_tb.pe_i.ifmap_out.Receive Stalled(                  14) @            216000000
### complete_pe_tb.pe_i.intf[3].Receive Stalled(                   4) @            216000000
### complete_pe_tb.pe_i.acc_clear.Send Stalled(                   6) @            218000000
### complete_pe_tb.pe_i.intf[0].Receive Stalled(                   8) @            220000000
### complete_pe_tb.pe_i.filter_out_addr.Receive Stalled(                   6) @            224000000
### complete_pe_tb.pe_i.ifmap_out_addr.Receive Stalled(                   6) @            224000000
### complete_pe_tb.pe_i.intf[1].Receive Stalled(                  10) @            224000000
### complete_pe_tb.pe_i.add_sel.Send Stalled(                   2) @            226000000
### complete_pe_tb.pe_i.filter_out.Receive Stalled(                   6) @            228000000
### complete_pe_tb.pe_i.ifmap_out.Receive Stalled(                   6) @            228000000
### complete_pe_tb.pe_i.intf[2].Receive Stalled(                  10) @            228000000
### complete_pe_tb.pe_i.split_sel.Send Stalled(                   6) @            230000000
### complete_pe_tb.pe_i.intf[0].Receive Stalled(                   6) @            232000000
### complete_pe_tb.pe_i.intf[3].Receive Stalled(                   6) @            232000000
### complete_pe_tb.pe_i.acc_clear.Send Stalled(                  10) @            234000000
### complete_pe_tb.pe_i.intf[1].Receive Stalled(                   6) @            236000000
### complete_pe_tb.pe_i.add_sel.Receive Stalled(                   2) @            240000000
### complete_pe_tb.pe_i.filter_out_addr.Receive Stalled(                  10) @            240000000
### complete_pe_tb.pe_i.ifmap_out_addr.Receive Stalled(                  10) @            240000000
### complete_pe_tb.pe_i.intf[2].Receive Stalled(                   6) @            240000000
### complete_pe_tb.pe_i.split_sel.Send Stalled(                   2) @            242000000
### complete_pe_tb.pe_i.filter_out.Receive Stalled(                  10) @            244000000
### complete_pe_tb.pe_i.ifmap_out.Receive Stalled(                  10) @            244000000
### complete_pe_tb.pe_i.intf[3].Receive Stalled(                   4) @            244000000
### complete_pe_tb.pe_i.acc_clear.Send Stalled(                   6) @            246000000
### complete_pe_tb.pe_i.intf[0].Receive Stalled(                   8) @            248000000
### complete_pe_tb.pe_i.intf[1].Receive Stalled(                  10) @            252000000
### complete_pe_tb.pe_i.add_sel.Send Stalled(                   2) @            254000000
### complete_pe_tb.pe_i.psum_in.Send Stalled(                 254) @            254000000
### complete_pe_tb.pe_i.intf[2].Receive Stalled(                  10) @            256000000
### complete_pe_tb.pe_i.split_sel.Send Stalled(                   6) @            258000000
### complete_pe_tb.pe_i.intf[3].Receive Stalled(                   6) @            260000000
### complete_pe_tb.pe_i.acc_clear.Receive Stalled(                   2) @            264000000
### complete_pe_tb.pe_i.intf[1].Receive Stalled(                   6) @            264000000
### complete_pe_tb.pe_i.psum_out.Receive Stalled(                  94) @            268000000
# Sending psum
# iff type = 0
# psum_out =            15
# source =  2
# dest = 13
# x_dir = 1
# y_dir = 1
# x_hop = 1
# y_hop = 1
# 
# packet = 000010110110011010000000000000000000000000000000000001111
# 
### complete_pe_tb.intf[1].Receive Stalled(                 121) @            269000000
# --------Finished recieving in module complete_pe_tb.db. Simulation time =           269000000. Final result =  6417849371328527.
# Execution cycle=          2, Cycle Time=        121, 
# 
#     Average CycleTime=134.500000, Average Throughput=0.007435
# data_bucket starts complete_pe_tb.db                  269
# Start recieving in module complete_pe_tb.db. Simulation time =           269000000
### complete_pe_tb.pe_i.add_sel.Receive Stalled(                   4) @            270000000
### complete_pe_tb.pe_i.filter_out_addr.Receive Stalled(                  24) @            270000000
### complete_pe_tb.pe_i.ifmap_out_addr.Receive Stalled(                  24) @            270000000
### complete_pe_tb.pe_i.intf[3].Send Stalled(                   2) @            270000000
### complete_pe_tb.pe_i.acc_clear.Send Stalled(                   2) @            272000000
### complete_pe_tb.pe_i.filter_out.Receive Stalled(                  24) @            274000000
### complete_pe_tb.pe_i.ifmap_out.Receive Stalled(                  24) @            274000000
### complete_pe_tb.pe_i.filter_out_addr.Receive Stalled(                   2) @            278000000
### complete_pe_tb.pe_i.ifmap_out_addr.Receive Stalled(                   2) @            278000000
### complete_pe_tb.pe_i.intf[0].Receive Stalled(                   8) @            278000000
### complete_pe_tb.pe_i.filter_out.Receive Stalled(                   2) @            282000000
### complete_pe_tb.pe_i.ifmap_out.Receive Stalled(                   2) @            282000000
### complete_pe_tb.pe_i.intf[1].Receive Stalled(                  12) @            282000000
### complete_pe_tb.pe_i.add_sel.Send Stalled(                   6) @            284000000
### complete_pe_tb.pe_i.intf[0].Receive Stalled(                   2) @            286000000
### complete_pe_tb.pe_i.intf[2].Receive Stalled(                  14) @            286000000
### complete_pe_tb.pe_i.split_sel.Send Stalled(                  10) @            288000000
### complete_pe_tb.pe_i.intf[3].Receive Stalled(                   6) @            290000000
### complete_pe_tb.pe_i.acc_clear.Send Stalled(                  14) @            292000000
### complete_pe_tb.pe_i.intf[1].Receive Stalled(                   6) @            294000000
### complete_pe_tb.pe_i.add_sel.Receive Stalled(                   2) @            298000000
### complete_pe_tb.pe_i.filter_out_addr.Receive Stalled(                  14) @            298000000
### complete_pe_tb.pe_i.ifmap_out_addr.Receive Stalled(                  14) @            298000000
### complete_pe_tb.pe_i.intf[2].Receive Stalled(                   6) @            298000000
### complete_pe_tb.pe_i.split_sel.Send Stalled(                   2) @            300000000
### complete_pe_tb.pe_i.filter_out.Receive Stalled(                  14) @            302000000
### complete_pe_tb.pe_i.ifmap_out.Receive Stalled(                  14) @            302000000
### complete_pe_tb.pe_i.intf[3].Receive Stalled(                   4) @            302000000
### complete_pe_tb.pe_i.acc_clear.Send Stalled(                   6) @            304000000
### complete_pe_tb.pe_i.intf[0].Receive Stalled(                   8) @            306000000
### complete_pe_tb.pe_i.filter_out_addr.Receive Stalled(                   6) @            310000000
### complete_pe_tb.pe_i.ifmap_out_addr.Receive Stalled(                   6) @            310000000
### complete_pe_tb.pe_i.intf[1].Receive Stalled(                  10) @            310000000
### complete_pe_tb.pe_i.add_sel.Send Stalled(                   2) @            312000000
### complete_pe_tb.pe_i.filter_out.Receive Stalled(                   6) @            314000000
### complete_pe_tb.pe_i.ifmap_out.Receive Stalled(                   6) @            314000000
### complete_pe_tb.pe_i.intf[2].Receive Stalled(                  10) @            314000000
### complete_pe_tb.pe_i.split_sel.Send Stalled(                   6) @            316000000
### complete_pe_tb.pe_i.intf[0].Receive Stalled(                   6) @            318000000
### complete_pe_tb.pe_i.intf[3].Receive Stalled(                   6) @            318000000
### complete_pe_tb.pe_i.acc_clear.Send Stalled(                  10) @            320000000
### complete_pe_tb.pe_i.intf[1].Receive Stalled(                   6) @            322000000
### complete_pe_tb.pe_i.add_sel.Receive Stalled(                   2) @            326000000
### complete_pe_tb.pe_i.filter_out_addr.Receive Stalled(                  10) @            326000000
### complete_pe_tb.pe_i.ifmap_out_addr.Receive Stalled(                  10) @            326000000
### complete_pe_tb.pe_i.intf[2].Receive Stalled(                   6) @            326000000
### complete_pe_tb.pe_i.split_sel.Send Stalled(                   2) @            328000000
### complete_pe_tb.pe_i.filter_out.Receive Stalled(                  10) @            330000000
### complete_pe_tb.pe_i.ifmap_out.Receive Stalled(                  10) @            330000000
### complete_pe_tb.pe_i.intf[3].Receive Stalled(                   4) @            330000000
### complete_pe_tb.pe_i.acc_clear.Send Stalled(                   6) @            332000000
### complete_pe_tb.pe_i.intf[0].Receive Stalled(                   8) @            334000000
### complete_pe_tb.pe_i.intf[1].Receive Stalled(                  10) @            338000000
### complete_pe_tb.pe_i.add_sel.Send Stalled(                   2) @            340000000
### complete_pe_tb.pe_i.psum_in.Send Stalled(                  85) @            340000000
### complete_pe_tb.pe_i.intf[2].Receive Stalled(                  10) @            342000000
### complete_pe_tb.pe_i.split_sel.Send Stalled(                   6) @            344000000
### complete_pe_tb.pe_i.intf[3].Receive Stalled(                   6) @            346000000
### complete_pe_tb.pe_i.acc_clear.Receive Stalled(                   2) @            350000000
### complete_pe_tb.pe_i.intf[1].Receive Stalled(                   6) @            350000000
###Deadlock Detected on complete_pe_tb.pe_i.ifmap_in @            151000000
###Deadlock Detected on complete_pe_tb.pe_i.ifmap_addr @            151000000
### complete_pe_tb.pe_i.psum_out.Receive Stalled(                  84) @            354000000
# Sending psum
# iff type = 0
# psum_out =            10
# source =  2
# dest = 13
# x_dir = 1
# y_dir = 1
# x_hop = 1
# y_hop = 1
# 
# packet = 000010110110011010000000000000000000000000000000000001010
# 
### complete_pe_tb.intf[1].Receive Stalled(                  86) @            355000000
# --------Finished recieving in module complete_pe_tb.db. Simulation time =           355000000. Final result =  6417849371328522.
# Execution cycle=          3, Cycle Time=         86, 
# 
#     Average CycleTime=118.333333, Average Throughput=0.008451
# data_bucket starts complete_pe_tb.db                  355
# Start recieving in module complete_pe_tb.db. Simulation time =           355000000
### complete_pe_tb.pe_i.add_sel.Receive Stalled(                   4) @            356000000
### complete_pe_tb.pe_i.filter_out_addr.Receive Stalled(                  24) @            356000000
### complete_pe_tb.pe_i.ifmap_out_addr.Receive Stalled(                  24) @            356000000
### complete_pe_tb.pe_i.intf[3].Send Stalled(                   2) @            356000000
### complete_pe_tb.pe_i.acc_clear.Send Stalled(                   2) @            358000000
### complete_pe_tb.pe_i.filter_out.Receive Stalled(                  24) @            360000000
### complete_pe_tb.pe_i.ifmap_out.Receive Stalled(                  24) @            360000000
### complete_pe_tb.pe_i.filter_out_addr.Receive Stalled(                   2) @            364000000
### complete_pe_tb.pe_i.ifmap_out_addr.Receive Stalled(                   2) @            364000000
### complete_pe_tb.pe_i.intf[0].Receive Stalled(                   8) @            364000000
### complete_pe_tb.pe_i.filter_out.Receive Stalled(                   2) @            368000000
### complete_pe_tb.pe_i.ifmap_out.Receive Stalled(                   2) @            368000000
### complete_pe_tb.pe_i.intf[1].Receive Stalled(                  12) @            368000000
### complete_pe_tb.pe_i.add_sel.Send Stalled(                   6) @            370000000
### complete_pe_tb.pe_i.intf[0].Receive Stalled(                   2) @            372000000
### complete_pe_tb.pe_i.intf[2].Receive Stalled(                  14) @            372000000
### complete_pe_tb.pe_i.split_sel.Send Stalled(                  10) @            374000000
###Deadlock Detected on complete_pe_tb.pe_i.if_forwardIntf @            175000000
### complete_pe_tb.pe_i.intf[3].Receive Stalled(                   6) @            376000000
###Deadlock Detected on complete_pe_tb.pe_i.filter_in @            178000000
###Deadlock Detected on complete_pe_tb.pe_i.filter_addr @            178000000
### complete_pe_tb.pe_i.acc_clear.Send Stalled(                  14) @            378000000
### complete_pe_tb.pe_i.intf[1].Receive Stalled(                   6) @            380000000
### complete_pe_tb.pe_i.add_sel.Receive Stalled(                   2) @            384000000
### complete_pe_tb.pe_i.filter_out_addr.Receive Stalled(                  14) @            384000000
### complete_pe_tb.pe_i.ifmap_out_addr.Receive Stalled(                  14) @            384000000
### complete_pe_tb.pe_i.intf[2].Receive Stalled(                   6) @            384000000
### complete_pe_tb.pe_i.split_sel.Send Stalled(                   2) @            386000000
### complete_pe_tb.pe_i.filter_out.Receive Stalled(                  14) @            388000000
### complete_pe_tb.pe_i.ifmap_out.Receive Stalled(                  14) @            388000000
### complete_pe_tb.pe_i.intf[3].Receive Stalled(                   4) @            388000000
### complete_pe_tb.pe_i.acc_clear.Send Stalled(                   6) @            390000000
### complete_pe_tb.pe_i.intf[0].Receive Stalled(                   8) @            392000000
### complete_pe_tb.pe_i.filter_out_addr.Receive Stalled(                   6) @            396000000
### complete_pe_tb.pe_i.ifmap_out_addr.Receive Stalled(                   6) @            396000000
### complete_pe_tb.pe_i.intf[1].Receive Stalled(                  10) @            396000000
### complete_pe_tb.pe_i.add_sel.Send Stalled(                   2) @            398000000
### complete_pe_tb.pe_i.filter_out.Receive Stalled(                   6) @            400000000
### complete_pe_tb.pe_i.ifmap_out.Receive Stalled(                   6) @            400000000
### complete_pe_tb.pe_i.intf[2].Receive Stalled(                  10) @            400000000
### complete_pe_tb.pe_i.split_sel.Send Stalled(                   6) @            402000000
### complete_pe_tb.pe_i.intf[0].Receive Stalled(                   6) @            404000000
### complete_pe_tb.pe_i.intf[3].Receive Stalled(                   6) @            404000000
### complete_pe_tb.pe_i.acc_clear.Send Stalled(                  10) @            406000000
### complete_pe_tb.pe_i.intf[1].Receive Stalled(                   6) @            408000000
### complete_pe_tb.pe_i.add_sel.Receive Stalled(                   2) @            412000000
### complete_pe_tb.pe_i.filter_out_addr.Receive Stalled(                  10) @            412000000
### complete_pe_tb.pe_i.ifmap_out_addr.Receive Stalled(                  10) @            412000000
### complete_pe_tb.pe_i.intf[2].Receive Stalled(                   6) @            412000000
### complete_pe_tb.pe_i.split_sel.Send Stalled(                   2) @            414000000
### complete_pe_tb.pe_i.filter_out.Receive Stalled(                  10) @            416000000
### complete_pe_tb.pe_i.ifmap_out.Receive Stalled(                  10) @            416000000
### complete_pe_tb.pe_i.intf[3].Receive Stalled(                   4) @            416000000
### complete_pe_tb.pe_i.acc_clear.Send Stalled(                   6) @            418000000
### complete_pe_tb.pe_i.intf[0].Receive Stalled(                   8) @            420000000
### complete_pe_tb.pe_i.intf[1].Receive Stalled(                  10) @            424000000
### complete_pe_tb.pe_i.add_sel.Send Stalled(                   2) @            426000000
### complete_pe_tb.pe_i.psum_in.Send Stalled(                  85) @            426000000
### complete_pe_tb.pe_i.intf[2].Receive Stalled(                  10) @            428000000
### complete_pe_tb.pe_i.split_sel.Send Stalled(                   6) @            430000000
### complete_pe_tb.pe_i.intf[3].Receive Stalled(                   6) @            432000000
### complete_pe_tb.pe_i.acc_clear.Receive Stalled(                   2) @            436000000
### complete_pe_tb.pe_i.intf[1].Receive Stalled(                   6) @            436000000
### complete_pe_tb.pe_i.psum_out.Receive Stalled(                  84) @            440000000
# Sending psum
# iff type = 0
# psum_out =             6
# source =  2
# dest = 13
# x_dir = 1
# y_dir = 1
# x_hop = 1
# y_hop = 1
# 
# packet = 000010110110011010000000000000000000000000000000000000110
# 
### complete_pe_tb.intf[1].Receive Stalled(                  86) @            441000000
# --------Finished recieving in module complete_pe_tb.db. Simulation time =           441000000. Final result =  6417849371328518.
# Execution cycle=          4, Cycle Time=         86, 
# 
#     Average CycleTime=110.250000, Average Throughput=0.009070
# data_bucket starts complete_pe_tb.db                  441
# Start recieving in module complete_pe_tb.db. Simulation time =           441000000
### complete_pe_tb.pe_i.add_sel.Receive Stalled(                   4) @            442000000
### complete_pe_tb.pe_i.filter_out_addr.Receive Stalled(                  24) @            442000000
### complete_pe_tb.pe_i.ifmap_out_addr.Receive Stalled(                  24) @            442000000
### complete_pe_tb.pe_i.intf[3].Send Stalled(                   2) @            442000000
